iso3,scenario,hiv,measure,year,best,lo,hi
COL,Baseline,pos,inc,2024,4.4874,3.2733,5.9738
COL,COVID,a,inc,2024,44.3885,33.8729,58.0443
COL,COVID,pos,inc,2024,5.5652,3.9352,7.4354
COL,Baseline,a,mort,2024,3.227,2.8353,3.6203
COL,Baseline,pos,mort,2024,1.0409,0.71146,1.4066
COL,COVID,a,mort,2024,4.0613,3.3646,4.8121
COL,COVID,pos,mort,2024,1.3105,0.81197,1.8262
ETH,Baseline,a,inc,2019,140.2545,97.0885,183.9461
ETH,COVID,a,inc,2019,140.2545,97.0885,183.9461
ETH,Baseline,a,mort,2019,21.6348,13.8834,29.523
ETH,COVID,a,mort,2019,21.6348,13.8834,29.523
ETH,Baseline,a,inc,2020,136.4807,96.6027,179.2653
ETH,COVID,a,inc,2020,134.1212,95.2043,175.2982
ETH,Baseline,a,mort,2020,21.1087,13.7822,28.837
ETH,COVID,a,mort,2020,21.5245,14.1656,29.3851
ETH,Baseline,a,inc,2021,133.7715,95.2308,175.5769
ETH,COVID,a,inc,2021,133.2718,95.1808,173.1668
ETH,Baseline,a,mort,2021,20.6439,13.5926,28.4397
ETH,COVID,a,mort,2021,21.2042,14.2306,29.2237
ETH,Baseline,a,inc,2022,132.3222,95.1733,173.5487
ETH,COVID,a,inc,2022,133.2974,96.0613,174.1051
ETH,Baseline,a,mort,2022,20.2093,13.2126,28.1104
ETH,COVID,a,mort,2022,20.5192,13.4125,28.4459
ETH,Baseline,a,inc,2023,131.0884,94.9768,171.5646
ETH,COVID,a,inc,2023,131.572,95.5697,172.3582
ETH,Baseline,a,mort,2023,19.8851,12.9109,27.8405
ETH,COVID,a,mort,2023,20.0389,12.9857,27.9956
ETH,Baseline,a,inc,2024,130.0399,94.449,169.9654
ETH,COVID,a,inc,2024,130.4556,94.8503,170.6594
ETH,Baseline,a,mort,2024,19.8199,12.6875,27.6219
ETH,COVID,a,mort,2024,19.9013,12.7375,27.7445
IDN,Baseline,a,inc,2019,308.8424,282.8537,338.6372
IDN,COVID,a,inc,2019,308.8424,282.8537,338.6372
IDN,Baseline,a,mort,2019,35.6384,32.6907,37.7637
IDN,COVID,a,mort,2019,35.6384,32.6907,37.7637
IDN,Baseline,a,inc,2020,304.7036,278.1914,335.464
IDN,COVID,a,inc,2020,301.0977,276.1419,332.5083
IDN,Baseline,a,mort,2020,34.9884,32.3816,37.0472
IDN,COVID,a,mort,2020,40.7635,36.8039,43.4443
IDN,Baseline,a,inc,2021,302.0204,275.3109,332.623
IDN,COVID,a,inc,2021,353.8232,317.3233,389.9211
IDN,Baseline,a,mort,2021,34.4708,31.8857,36.705
IDN,COVID,a,mort,2021,54.7796,47.2527,60.7122
IDN,Baseline,a,inc,2022,300.3521,274.1477,329.8115
IDN,COVID,a,inc,2022,422.6761,360.045,472.1295
IDN,Baseline,a,mort,2022,34.1465,31.4443,36.5576
IDN,COVID,a,mort,2022,61.92,51.6329,69.3589
IDN,Baseline,a,inc,2023,299.4763,273.0905,328.127
IDN,COVID,a,inc,2023,434.7971,373.8878,481.3434
IDN,Baseline,a,mort,2023,33.8992,30.9556,36.4173
IDN,COVID,a,mort,2023,52.8485,45.4328,58.0887
IDN,Baseline,a,inc,2024,299.0675,272.166,327.8537
IDN,COVID,a,inc,2024,411.8043,363.2059,453.8075
IDN,Baseline,a,mort,2024,33.7668,30.5906,36.5523
IDN,COVID,a,mort,2024,48.6643,42.5221,52.9077
IND,Baseline,a,inc,2019,213.9509,192.4323,237.3102
IND,COVID,a,inc,2019,213.9509,192.4323,237.3102
IND,Baseline,a,mort,2019,32.5945,29.3284,36.308
IND,COVID,a,mort,2019,32.5945,29.3284,36.308
IND,Baseline,a,inc,2020,207.6094,179.2208,233.3625
IND,COVID,a,inc,2020,204.1003,176.147,228.212
IND,Baseline,a,mort,2020,31.1387,27.8432,35.1373
IND,COVID,a,mort,2020,34.4639,30.7883,38.4833
IND,Baseline,a,inc,2021,203.2544,168.5794,230.2087
IND,COVID,a,inc,2021,209.8891,172.755,238.7815
IND,Baseline,a,mort,2021,30.239,26.563,34.4343
IND,COVID,a,mort,2021,35.938,31.4552,41.0342
IND,Baseline,a,inc,2022,199.4641,161.8573,229.0699
IND,COVID,a,inc,2022,212.2584,170.1076,246.1474
IND,Baseline,a,mort,2022,29.5203,25.2033,34.2448
IND,COVID,a,mort,2022,32.3567,27.498,37.8669
IND,Baseline,a,inc,2023,195.882,157.072,228.8856
IND,COVID,a,inc,2023,206.6774,162.8636,243.4043
IND,Baseline,a,mort,2023,28.9943,24.3632,34.1757
IND,COVID,a,mort,2023,30.7291,25.5558,36.2463
IND,Baseline,a,inc,2024,194.1403,152.4207,229.0603
IND,COVID,a,inc,2024,202.7534,157.5937,241.5423
