iso3,source_new,source_ret,year,e_rr_prop_new,e_rr_prop_new_lo,e_rr_prop_new_hi,e_rr_prop_new_se,e_rr_prop_ret,e_rr_prop_ret_lo,e_rr_prop_ret_hi,e_rr_prop_ret_se,e_inc_rr_num,e_inc_rr_num_lo,e_inc_rr_num_hi
MDV,Surveillance,Surveillance,2021,0.00800105287580245,0.00161792693558706,0.0214809359734188,0.00506709414230403,0.0615177558349276,0.00396464975885307,0.245908232914817,0.0617203018255011,1.92333230874678,0,4.07574666928705
MEX,Model,Surveillance,2015,0.0243703796306567,0.0123790319372108,0.0417735984949446,0.00749861391778922,0.127221714642965,0.114488795942138,0.14062936989229,0.00666851376279396,890.967294287041,377.935328733523,1403.99925984056
MEX,Model,Surveillance,2016,0.0243276295510762,0.0110921483704568,0.0446737976510059,0.00856674726544621,0.13006186704692,0.116962731257215,0.143648023831964,0.0068074725955993,916.166269879851,325.823655576749,1506.50888418295
MEX,Model,Surveillance,2017,0.0243271189977769,0.0101596860790289,0.0477540565908622,0.0095904006407738,0.13296531775083,0.118910580907645,0.147009642341948,0.007168127916914,941.545515425777,273.312240551556,1609.7787903
MEX,Model,Surveillance,2018,0.0243683515259612,0.00916693684681451,0.051123973807208,0.0107033257552024,0.135932943989075,0.1202933276661,0.151674185758536,0.00800532094194797,965.553628288295,212.493485195136,1718.61377138145
MEX,Model,Surveillance,2019,0.0244509871321816,0.00824857523481654,0.0547171114177135,0.0118542184140043,0.138965590802842,0.121269523290472,0.156698622977685,0.00903803563449319,987.156158642769,146.945777276107,1827.36654000943
MEX,Model,Surveillance,2020,0.02457482972544,0.00742324564509875,0.0584225684852629,0.0130100313367766,0.142064067383282,0.12168438018785,0.161855819972677,0.0102478162716394,976.47616523794,74.7209381590984,1878.23139231678
MEX,Model,Surveillance,2021,0.024739814219841,0.00670965541123779,0.0624073987825056,0.0142086080028744,0.145229143297718,0.122571308579773,0.167843934018717,0.0115491391425878,1098.12004609569,6.57424058772335,2189.66585160367
MHL,Surveillance,Surveillance,2015,0.015832449012802,0.00652894284728595,0.0287209442518303,0.00566122484809806,0.0481699431396677,0.00777126540931399,0.137821092240028,0.033175976232325,2.90258487010505,0.774220133520802,5.03094960668929
MHL,Surveillance,Surveillance,2016,0.0160123967382608,0.00667965488438933,0.0292509208255651,0.00575797600540199,0.0520104394106262,0.00876010052808604,0.142955324618986,0.0342334755333929,3.71045501961727,0.938315024960389,6.48259501427416
MHL,Surveillance,Surveillance,2017,0.0162341871526524,0.00665425004271707,0.0313839409858155,0.00630859462834144,0.056577553082393,0.00942652239439743,0.155927389001882,0.0373726700529297,4.16734748230449,0.810403831601959,7.52429113300702
MHL,Surveillance,Surveillance,2018,0.0164994895514089,0.00646838064114909,0.0326367630291455,0.00667560775203991,0.0619837687981633,0.0109827075175654,0.167928701775695,0.0400372434331962,8.63976516649074,0.597469283417869,16.6820610495636
MHL,Surveillance,Surveillance,2019,0.0168102579802796,0.00630663949221725,0.0342867368330068,0.00713777993387488,0.0683507620198356,0.0117449390687265,0.183410618336588,0.0437922651193523,4.50813732275563,0.566819537716401,8.44945510779487
MHL,Surveillance,Surveillance,2020,0.0171687421954523,0.00614403462947824,0.0370783360862036,0.00789140343283809,0.0758034351205292,0.0128118736452257,0.209509654307214,0.0501780052709153,4.47710445689251,0.28705614565205,8.66715276813297
MHL,Surveillance,Surveillance,2021,0.0175774978287122,0.00591750186698631,0.0386025186503119,0.00833801448554225,0.0844603507602413,0.0126916981309446,0.244620418326246,0.0591654898457403,4.44885818652008,0.173531952282129,8.72418442075804
MKD,Surveillance,Surveillance,2015,0.0116283388635778,0.00702190451356319,0.0172010607465454,0.002596723528822,0.0587696500673148,0.0288815287731343,0.0956689156340838,0.0170375986890177,5.32124730078659,2.35940484328842,8.28308975828476
MKD,Surveillance,Surveillance,2016,0.0113101296115485,0.00660369295755297,0.0170540345435715,0.00266590346582104,0.0536826043126056,0.0243800906033865,0.0910963515445726,0.0170194543217312,4.8125584237799,2.11920326802389,7.50591357953592
MKD,Surveillance,Surveillance,2017,0.0110164494078919,0.00618864271902029,0.0173024522126246,0.00283515548306233,0.0491643291508572,0.0196204898688233,0.0893021183969066,0.0177759256449192,3.83887592368035,1.68325320226347,5.99449864509722
MKD,Surveillance,Surveillance,2018,0.0107458296321273,0.00583720913203201,0.0177132624130792,0.00302960542883858,0.045148321473083,0.0160515263263136,0.0900422988001549,0.0188751970596534,3.752071085643,1.49146314274295,6.01267902854304
MKD,Surveillance,Surveillance,2019,0.0104969275975003,0.00536458049525008,0.0177797822498169,0.00316714330473643,0.04157547431059,0.0133263558146678,0.0886915846814002,0.019225823690493,3.35251221246071,1.25154664606446,5.45347777885697
MKD,Surveillance,Surveillance,2020,0.0102685171570676,0.00493166916920929,0.0181512607633907,0.00337234479443404,0.0383935543301042,0.0106904235233471,0.0873266858070866,0.0195500669091172,3.1871262959426,1.02931115840669,5.34494143347851
MKD,Surveillance,Surveillance,2021,0.0100594800176942,0.00453990318794274,0.0182398815986848,0.0034948924517199,0.0355565855840595,0.00866207070030628,0.0873908268896926,0.0200838663748434,2.979955234267,0.849629640479908,5.11028082805409
MLI,Survey,Survey & Surveillance,2015,0.00921219113794587,0.00463807751163283,0.0165537040213141,0.00303970064022482,0.119637929486464,0.0513939770762332,0.224537827654164,0.0441693496372271,145.927899986041,47.9758310361011,243.879968935981
MLI,Survey,Survey & Surveillance,2016,0.00933299871425806,0.00498808050815856,0.0159477091974119,0.00279582364521768,0.119418114201455,0.0613037540002948,0.200124527786439,0.0354134627005471,148.785532537815,56.8865512416256,240.684513834003
MLI,Survey,Survey & Surveillance,2017,0.00948010586764147,0.00517521596150528,0.0161148027341411,0.00279071091138668,0.119793017697365,0.073557261071937,0.181782739151883,0.0276085403265168,152.235655473887,60.9331241063694,243.538186841404
MLI,Survey,Survey & Surveillance,2018,0.00965475432502775,0.00540057549828794,0.0159046894272856,0.00267962090025451,0.12079316663316,0.0828760292214174,0.167983414024624,0.0217110675518384,156.217459063727,66.7386561741682,245.696261953286
MLI,Survey,Survey & Surveillance,2019,0.00985840104828324,0.00539593024089408,0.0162298285637642,0.00276374957216074,0.122446235377576,0.0915118549575651,0.156418183338109,0.0165577368317714,160.759605635878,69.547230109791,251.971981161965
MLI,Survey,Survey & Surveillance,2020,0.0100927336793318,0.0053726694422215,0.0172383905207667,0.00302696966289417,0.124776483748962,0.0916673043710333,0.162416129759421,0.0180481697419357,166.008268585997,67.0384139104671,264.978123261528
MLI,Survey,Survey & Surveillance,2021,0.0103596876195858,0.0052265993116287,0.0185547811067062,0.00340004637629528,0.127803479914281,0.0872809248909841,0.178828909216485,0.0233540776340564,172.014670222147,62.7980347355972,281.231305708697
MLT,Surveillance,Model,2015,0.00548801508977839,0.000979036430077386,0.0148603685291736,0.00354115614772863,0.0861605448855243,0.00760152522466375,0.291591839712983,0.0724465087980407,0.367693463867675,0,0.744197536133485
MLT,Surveillance,Model,2016,0.00562500953146481,0.000981923764373165,0.0154431261228862,0.00368908223431455,0.0910026345165542,0.00836725248994809,0.298631479704775,0.0740469967384762,0.594688325671723,0,1.20437480173047
MLT,Surveillance,Model,2017,0.00577807960556045,0.000987932293704066,0.0160955756158011,0.0038539906433921,0.0965068635685535,0.00939262759167312,0.312414225940526,0.0773014281502175,0.518637424550976,0,1.05354383121478
MLT,Surveillance,Model,2018,0.00594841021104825,0.0010376395522942,0.016558876986326,0.00395949934541628,0.102727474158197,0.0101212794268192,0.333782556585238,0.0825666523363314,0.707227144243523,0,1.43498213980862
MLT,Surveillance,Model,2019,0.00613734265919483,0.00111705679476279,0.017330772299211,0.00413615191440005,0.109715904049583,0.0106170733813726,0.361259497412469,0.0894495979671165,1.31598181021856,0,2.68506588778776
MLT,Surveillance,Model,2020,0.00634639093787315,0.00113590595036094,0.0185560778830348,0.00444392141139638,0.117517259144683,0.0111542008367751,0.388500244980213,0.0962617459549586,1.96864291903091,0,4.06973912174029
MLT,Surveillance,Model,2021,0.00657725962998703,0.0011434320199303,0.0195347017025476,0.00469165042923911,0.126165861575864,0.0117383105640206,0.425034414873844,0.105432679670873,2.49555482824784,0,5.20412316343371
MMR,Surveillance,Surveillance,2015,0.0477008456517658,0.0456138277857288,0.0499320982127542,0.00110159959873096,0.182748146531701,0.172289033400475,0.193979769373952,0.00553335101364214,11692.3981346066,5008.24354640646,18376.5527228068
MMR,Surveillance,Surveillance,2016,0.0464529211956746,0.0447996639037427,0.0482235006723171,0.000873427747085311,0.183500738917194,0.175952395303851,0.192499588802445,0.00422122283127411,10944.5868026034,5032.71043656267,16856.4631686442
MMR,Surveillance,Surveillance,2017,0.0452385131882916,0.0438371909343211,0.0466813815489469,0.00072555883026169,0.184267418451606,0.178341837260353,0.190915469635579,0.00320755927939432,10242.2001785307,5002.0188616422,15482.3814954191
MMR,Surveillance,Surveillance,2018,0.044056766947027,0.0426447514235093,0.0454469049056911,0.000714835071985152,0.185048221288666,0.179714625939845,0.190773384506241,0.00282111187918258,9581.65408484497,4925.15878072497,14238.149388965
MMR,Surveillance,Surveillance,2019,0.0429068444719843,0.0413484696652106,0.0446071132511835,0.00083128662907473,0.185843178931649,0.179731429213462,0.192475663239682,0.00325108010872961,8963.28955655214,4741.63545093335,13184.9436621709
MMR,Surveillance,Surveillance,2020,0.0417879245276606,0.0398252587505997,0.0438668418504819,0.00103101609690875,0.186652318082367,0.178133141370084,0.195774719662042,0.00450040262549947,8524.33293333337,4675.42938549051,12373.2364811762
MMR,Surveillance,Surveillance,2021,0.0406992026868628,0.0382677130554697,0.0432277136512646,0.00126530627443748,0.187475660490758,0.176228431159679,0.199866010469603,0.0060299947219194,9690.24472889478,5435.12413830296,13945.3653194866
MNE,Surveillance,Surveillance,2015,0.00599682547538287,0.00251482547980024,0.0115299378036236,0.00229977355199576,0.0871903206365989,0.0406291087994636,0.146788654819,0.0270815168417186,0.917638686471642,0.217733358210436,1.61754401473285
MNE,Surveillance,Surveillance,2016,0.00583240086266698,0.00239889566633927,0.0112419333151215,0.00225587695121996,0.0823177653134984,0.0365151848454898,0.146447493776863,0.0280439563600442,0.964539515887183,0.220718885415795,1.70836014635857
MNE,Surveillance,Surveillance,2017,0.005682394864122,0.00227561218755897,0.0113248577287018,0.00230848100539359,0.0778574156506978,0.0312672678489449,0.144887302845985,0.0289847028053675,0.80504866148363,0.164601475491883,1.44549584747538
MNE,Surveillance,Surveillance,2018,0.00554597120193222,0.00214100813204354,0.0114052024502986,0.00236331487710588,0.0737766588487784,0.027147288383474,0.144668935738095,0.0299800120802604,0.87447178275363,0.149634053576402,1.59930951193086
MNE,Surveillance,Surveillance,2019,0.00542237785502648,0.00202885823867335,0.0115366321911543,0.00242545253889819,0.0700448546012042,0.0232256902478159,0.145982114317671,0.0313154143035344,0.809227059459708,0.112764039790651,1.50569007912877
MNE,Surveillance,Surveillance,2020,0.00531094082102177,0.00191679325213179,0.0116150528006302,0.00247404580318837,0.0666334126354064,0.0200598336017712,0.147700975949632,0.0325615159050665,0.779834629438847,0.0853991448024019,1.47427011407529
MNE,Surveillance,Surveillance,2021,0.00521105847769851,0.00179681936421752,0.0118518623230036,0.00256506197928217,0.0635157939285321,0.0174485688065295,0.150281640734126,0.0338859877366318,0.822758441591785,0.0538801601774488,1.59163672300612
MNG,Survey & Surveillance,Survey & Surveillance,2015,0.0479867008326242,0.0418329506750696,0.0548150718137837,0.00331176559661073,0.162406834808225,0.145875227430037,0.178650245455575,0.00836097398610671,690.409842478808,282.598994836747,1098.22069012087
MNG,Survey & Surveillance,Survey & Surveillance,2016,0.0515922061956362,0.0459093636585823,0.0577968655229412,0.00303252598580584,0.145125808335829,0.128606528939585,0.162526307126258,0.00865300463945753,738.670540611711,304.043622864737,1173.29745835868
MNG,Survey & Surveillance,Survey & Surveillance,2017,0.0554678904613092,0.0499196620590253,0.0615816129941535,0.00297498748345109,0.129413166130929,0.11209749225828,0.147746416538596,0.00909411333681536,793.284557480315,327.081439692223,1259.48767526841
MNG,Survey & Surveillance,Survey & Surveillance,2018,0.0596321400664662,0.0534354226012802,0.0660038243123751,0.00320622492629972,0.115185521847761,0.0976375518445726,0.133373324039771,0.0091162684171424,854.735004102441,351.792879508352,1357.67712869653
MNG,Survey & Surveillance,Survey & Surveillance,2019,0.0641041364787624,0.0568462742419103,0.0714488951488773,0.00372515839463443,0.102350330337722,0.0850361170723928,0.120196289096049,0.00896943163868792,923.292440426509,378.165047365606,1468.41983348741
MNG,Survey & Surveillance,Survey & Surveillance,2020,0.0689037933548669,0.0597524141682073,0.077823447344237,0.00460995744286473,0.0908097797521967,0.0739278216350358,0.108783080883346,0.00889164776742607,997.376690832462,391.984309869809,1602.76907179511
MNG,Survey & Surveillance,Survey & Surveillance,2021,0.0740516696231278,0.0627618321796822,0.0858458265687522,0.00588877407884439,0.0804640297055885,0.0641688383149645,0.0982460061179779,0.00869315505178915,1076.54456645933,416.826194115549,1736.26293880311
MNP,Surveillance,Surveillance,2015,0.0250508640258088,0.0121735134750745,0.0445170633208447,0.00825090557290055,0.0657733659887645,0.00445542438228547,0.253873449095061,0.063627047120606,0.871979125790403,0.30531394841448,1.43864430316633
MNP,Surveillance,Surveillance,2016,0.0243872181996999,0.0111676029937745,0.0444318521384741,0.00848577784303562,0.0672989610334806,0.00462428282160751,0.261681415757101,0.0655757992182382,0.851212952219825,0.271058863615629,1.43136704082402
MNP,Surveillance,Surveillance,2017,0.0237700925038934,0.0102635782406679,0.0445700999596683,0.00875166370382663,0.0693216213957321,0.00520729979058792,0.267223572202472,0.0668408858193582,1.21877457927473,0.346620825458842,2.09092833309061
