"","iso3","g.whoregion","year","country","inc","inc.sd","inc.f","inc.f.sd","inc.m","inc.m.sd","inc.15plus","inc.15plus.sd","inc.15plus.f","inc.15plus.f.sd","inc.15plus.m","inc.15plus.m.sd","inc.014","inc.014.sd","inc.014.f","inc.014.f.sd","inc.014.m","inc.014.m.sd","e.pop.m014","e.pop.f014","e.pop.014","e.pop.m15plus","e.pop.f15plus","e.pop.15plus","e.pop.f","e.pop.m","e.pop.num"
"95","JAM","AMR",2020,"Jamaica",2.31794629311771,0.297291868375047,1.43337582237836,0.243270867471556,3.21568563797619,0.545762404006697,2.67732467962461,0.384678743471478,1.46475765008431,0.272311505112784,3.92797267106656,0.730245136482783,1.13876478284256,0.163618035984663,1.32677944148378,0.246660126091406,0.957795625966676,0.178062745384818,352.439,339.232,691.671,1117.202,1152.288,2269.49,1491.52,1469.641,2961.161
"96","JOR","EMR",2020,"Jordan",4.63344274078897,0.594269520058546,5.57018427244467,0.993118753920017,3.72005964141201,0.66325651269088,6.479767308787,0.883178530687048,7.98705762561985,1.50314909417666,5.00114792577661,0.941206552756174,0.85995154649571,0.117209570514394,0.584288106194846,0.109961913226689,1.12543907137958,0.211805498343821,1707.578,1644.544,3352.122,3458.401,3392.617,6851.018,5037.161,5165.979,10203.14
"97","JPN","WPR",2020,"Japan",12.1338602928082,0.928118053619961,9.68051027483934,1.02998201553964,14.7052182954225,1.5645983474896,13.8591209811861,1.06008311283804,10.9800453008717,1.1682492832121,16.920283542774,1.80027573465674,NA,NA,NA,NA,NA,NA,8084.204,7660.291,15744.495,53668.841,57063.122,110731.963,64723.413,61753.045,126476.458
"98","KAZ","EUR",2020,"Kazakhstan",67.8332089343749,13.5583678291767,62.939658488395,17.773243097358,73.0225486420418,20.6205044605216,95.7341365542155,19.1351501366599,86.7862168122173,24.5071639400134,105.694600101249,29.8466160572496,NA,NA,NA,NA,NA,NA,2816.969,2655.348,5472.317,6295.97,7008.42,13304.39,9663.768,9112.939,18776.707
"99","KEN","AFR",2020,"Kenya",228.606332057203,54.2993270722866,153.996643736902,49.2365068820319,304.149379835618,97.2440221426308,372.260001075901,88.4204185091958,248.502570051125,79.4523711921188,499.884349616818,159.825296336836,NA,NA,NA,NA,NA,NA,10461.92,10288.213,20750.133,16256.607,16764.56,33021.167,27052.773,26718.527,53771.3
"100","KGZ","EUR",2020,"Kyrgyzstan",103.103099111127,8.03711142322947,87.933164631846,9.60279858989105,118.600431393014,12.9518374564315,153.083001080518,11.9331537780488,128.419445935303,14.024129343066,179.142298548832,19.5633515420136,NA,NA,NA,NA,NA,NA,1090.669,1039.407,2130.076,2136.601,2257.514,4394.115,3296.921,3227.27,6524.191
"101","KHM","WPR",2020,"Cambodia",268.65057271006,53.6971941989005,216.18308306733,60.1799352534623,323.651457385989,90.0964287946221,388.925547447395,77.7374506948685,306.986770267431,85.4573988687618,478.320333853043,133.152355463103,NA,NA,NA,NA,NA,NA,2639.388,2530.943,5170.331,5523.036,6025.604,11548.64,8556.547,8162.424,16718.971
"102","KIR","WPR",2020,"Kiribati",416.359019943765,53.4006559083852,402.195921775074,72.9389491240564,430.994189238261,78.1615663900094,523.146983187817,80.9933233158798,479.374065470622,104.831709069096,570.760656858979,124.816546070729,225.825357639484,34.9621555547658,254.367212840722,55.6261833377585,198.910956953569,43.4987561322088,22.08,20.821,42.901,36.664,39.881,76.545,60.702,58.744,119.446
"103","KNA","AMR",2020,"Saint Kitts and Nevis",4.3239584899985,0.33073926226485,0,0,8.75723423697837,0.669840193359422,5.68476729528659,0.434827426243651,0,0,11.6361428715977,0.890047700009707,0,0,0,0,0,0,6.498,6.237,12.735,19.766,20.693,40.459,26.93,26.264,53.192
"104","KOR","WPR",2020,"Republic of Korea",52.7433799754523,4.03433679938612,42.993752432325,4.57247450185271,62.4692562940096,6.64373462176104,60.307652863645,4.61292741090244,48.9658536008654,5.20761981415405,71.7116804593225,7.62668554928758,NA,NA,NA,NA,NA,NA,3307.895,3122.7,6430.595,22357.959,22480.629,44838.588,25603.329,25665.854,51269.183
