iso3,year,measure,unit,age_group,sex,best,lo,hi,analysed
ARE,2020,inc,num,a,m,54.1384615384616,43.4251506677107,64.8517724092124,TRUE
ARE,2020,inc,num,a,f,24.0615384615385,19.300066963427,28.82300995965,TRUE
ARE,2020,inc,num,a,a,78.2,66.4762360719487,89.9237639280513,TRUE
ARG,2020,inc,num,,m,270.236420363295,124.070002027795,416.402838698796,TRUE
ARG,2020,inc,num,,f,224.109384440437,102.892318306291,345.326450574583,TRUE
ARG,2020,inc,num,,m,321.298618687184,147.513500284142,495.083737090226,TRUE
ARG,2020,inc,num,,f,330.864830681507,151.90550614308,509.824155219933,TRUE
ARG,2020,inc,num,,m,1641.51546349394,753.646849712386,2529.3840772755,TRUE
ARG,2020,inc,num,,f,1332.31663491445,611.688562826863,2052.94470700203,TRUE
ARG,2020,inc,num,,m,1638.78938461151,752.395261891555,2525.18350733146,TRUE
ARG,2020,inc,num,,f,1209.47551151972,555.290175044081,1863.66084799537,TRUE
ARG,2020,inc,num,,m,1264.47291734224,580.54039203093,1948.40544265354,TRUE
ARG,2020,inc,num,,f,891.168293430982,409.150076160889,1373.18651070108,TRUE
ARG,2020,inc,num,,m,1000.79957821439,459.483608950812,1542.11554747797,TRUE
ARG,2020,inc,num,,f,683.831972634063,313.95854828642,1053.70539698171,TRUE
ARG,2020,inc,num,,m,986.56866626779,452.949962332423,1520.18737020316,TRUE
ARG,2020,inc,num,,f,562.966496763156,258.467212898562,867.465780627749,TRUE
ARG,2020,inc,num,,m,837.288929035493,384.41317045137,1290.16468761962,TRUE
ARG,2020,inc,num,,f,581.796054696806,267.112173810454,896.479935583157,TRUE
ARG,2020,inc,num,15plus,m,7960.96997801584,6261.28894742689,9660.65100860479,TRUE
ARG,2020,inc,num,15plus,f,5816.52917908112,4574.69001414869,7058.36834401355,TRUE
ARG,2020,inc,num,15plus,a,13777.499157097,11672.4860651415,15882.5122490524,TRUE
ARG,2020,inc,num,a,m,7960.96997801584,6261.28894742689,9660.65100860479,TRUE
ARG,2020,inc,num,a,f,5816.52917908112,4574.69001414869,7058.36834401355,TRUE
ARG,2020,inc,num,a,a,13777.499157097,11672.4860651415,15882.5122490524,TRUE
ARM,2020,inc,num,0-4,m,27.2625686147047,5.76718619445825,48.7579510349512,TRUE
ARM,2020,inc,num,0-4,f,3.40782107683809,0.720898274307282,6.0947438793689,TRUE
ARM,2020,inc,num,15-24,m,44.3016739988952,9.37167756599466,79.2316704317957,TRUE
ARM,2020,inc,num,15-24,f,22.1508369994476,4.68583878299733,39.6158352158979,TRUE
ARM,2020,inc,num,25-34,m,80.0837953056951,16.9411094462211,143.226481165169,TRUE
ARM,2020,inc,num,25-34,f,35.7821213068,7.56943188022646,63.9948107333735,TRUE
ARM,2020,inc,num,35-44,m,73.268153152019,15.4993128976066,131.036993406431,TRUE
ARM,2020,inc,num,35-44,f,37.486031845219,7.9298810173801,67.0421826730579,TRUE
ARM,2020,inc,num,45-54,m,102.234632305143,21.6269482292185,182.842316381067,TRUE
ARM,2020,inc,num,45-54,f,8.51955269209523,1.8022456857682,15.2368596984222,TRUE
ARM,2020,inc,num,55-64,m,107.3463639204,22.7082956406794,191.98443220012,TRUE
ARM,2020,inc,num,55-64,f,27.2625686147047,5.76718619445825,48.7579510349512,TRUE
ARM,2020,inc,num,5-14,m,6.81564215367618,1.44179654861456,12.1894877587378,TRUE
ARM,2020,inc,num,5-14,f,1.70391053841905,0.360449137153641,3.04737193968445,TRUE
ARM,2020,inc,num,65plus,m,68.1564215367618,14.4179654861456,121.894877587378,TRUE
ARM,2020,inc,num,65plus,f,25.5586580762857,5.40673705730461,45.7105790952668,TRUE
ARM,2020,inc,num,0-14,m,34.0782107683809,22.6161137965133,45.5403077402485,TRUE
ARM,2020,inc,num,0-14,f,5.11173161525714,3.392417069477,6.83104616103727,TRUE
ARM,2020,inc,num,15plus,m,475.391040218914,315.494787461361,635.287292976467,TRUE
ARM,2020,inc,num,15plus,f,156.759769534552,104.034123463961,209.485415605143,TRUE
ARM,2020,inc,num,0-14,a,39.1899423836381,28.7475586143818,49.6323261528943,TRUE
ARM,2020,inc,num,15plus,a,632.150809753466,463.710619388506,800.591000118426,TRUE
ARM,2020,inc,num,a,m,509.469250987295,348.628918153162,670.309583821427,TRUE
ARM,2020,inc,num,a,f,161.871501149809,110.768385366389,212.974616933229,TRUE
ARM,2020,inc,num,a,a,671.340752137104,502.577186433578,840.10431784063,TRUE
ASM,2020,inc,num,0-4,m,0,0,0,TRUE
ASM,2020,inc,num,0-4,f,0,0,0,TRUE
ASM,2020,inc,num,15-24,m,0,0,0,TRUE
ASM,2020,inc,num,15-24,f,0,0,0,TRUE
ASM,2020,inc,num,25-34,m,0,0,0,TRUE
ASM,2020,inc,num,25-34,f,0,0,0,TRUE
ASM,2020,inc,num,35-44,m,0.0409928201232669,0.0301447405990696,0.0518408996474641,TRUE
ASM,2020,inc,num,35-44,f,0,0,0,TRUE
ASM,2020,inc,num,45-54,m,0,0,0,TRUE
ASM,2020,inc,num,45-54,f,0.0409928201232669,0.0301447405990696,0.0518408996474641,TRUE
ASM,2020,inc,num,55-64,m,0,0,0,TRUE
ASM,2020,inc,num,55-64,f,0,0,0,TRUE
ASM,2020,inc,num,5-14,m,0,0,0,TRUE
ASM,2020,inc,num,5-14,f,0,0,0,TRUE
ASM,2020,inc,num,65plus,m,0,0,0,TRUE
ASM,2020,inc,num,65plus,f,0.0409928201232669,0.0301447405990696,0.0518408996474641,TRUE
ASM,2020,inc,num,0-14,m,0,0,0,TRUE
ASM,2020,inc,num,0-14,f,0,0,0,TRUE
ASM,2020,inc,num,15plus,m,0.0409928201232669,0.0325899338561569,0.0493957063903768,TRUE
ASM,2020,inc,num,15plus,f,0.0819856402465337,0.0651798677123138,0.0987914127807536,TRUE
ASM,2020,inc,num,0-14,a,0,0,0,TRUE
ASM,2020,inc,num,15plus,a,0.122978460369801,0.104189035469343,0.141767885270258,TRUE
ASM,2020,inc,num,a,m,0.0409928201232669,0.0325899338561569,0.0493957063903768,TRUE
ASM,2020,inc,num,a,f,0.0819856402465337,0.0651798677123138,0.0987914127807536,TRUE
ASM,2020,inc,num,a,a,0.122978460369801,0.104189035469343,0.141767885270258,TRUE
ATG,2020,inc,num,0-4,m,0,0,0,TRUE
ATG,2020,inc,num,0-4,f,0,0,0,TRUE
ATG,2020,inc,num,15-24,m,0,0,0,TRUE
ATG,2020,inc,num,15-24,f,0,0,0,TRUE
ATG,2020,inc,num,25-34,m,0,0,0,TRUE
ATG,2020,inc,num,25-34,f,0,0,0,TRUE
ATG,2020,inc,num,35-44,m,1.15,0.906177854464833,1.39382214553517,TRUE
ATG,2020,inc,num,35-44,f,0,0,0,TRUE
ATG,2020,inc,num,45-54,m,0,0,0,TRUE
ATG,2020,inc,num,45-54,f,0,0,0,TRUE
ATG,2020,inc,num,55-64,m,0,0,0,TRUE
ATG,2020,inc,num,55-64,f,0,0,0,TRUE
ATG,2020,inc,num,5-14,m,0,0,0,TRUE
ATG,2020,inc,num,5-14,f,0,0,0,TRUE
ATG,2020,inc,num,65plus,m,1.15,0.906177854464833,1.39382214553517,TRUE
ATG,2020,inc,num,65plus,f,0,0,0,TRUE
ATG,2020,inc,num,0-14,m,0,0,0,TRUE
ATG,2020,inc,num,0-14,f,0,0,0,TRUE
ATG,2020,inc,num,15plus,m,2.3,1.95518341497726,2.64481658502274,TRUE
ATG,2020,inc,num,15plus,f,0,0,0,TRUE
ATG,2020,inc,num,0-14,a,0,0,0,TRUE
ATG,2020,inc,num,15plus,a,2.3,1.95518341497726,2.64481658502274,TRUE
ATG,2020,inc,num,a,m,2.3,1.95518341497726,2.64481658502274,TRUE
ATG,2020,inc,num,a,f,0,0,0,TRUE
ATG,2020,inc,num,a,a,2.3,1.95518341497726,2.64481658502274,TRUE
AUS,2020,inc,num,,m,19.3550191244322,9.67963522103199,29.0304030278324,TRUE
AUS,2020,inc,num,,f,16.047781814051,8.02565334955628,24.0699102785458,TRUE
AUS,2020,inc,num,,m,15.1083320203172,7.55582527791475,22.6608387627197,TRUE
AUS,2020,inc,num,,f,15.5675059207449,7.78546265675605,23.3495491847337,TRUE
AUS,2020,inc,num,,m,172.51980738271,86.2788506242988,258.760764141121,TRUE
AUS,2020,inc,num,,f,152.21464720793,76.1240405291547,228.305253886706,TRUE
AUS,2020,inc,num,,m,246.562418427168,123.308287852723,369.816549001614,TRUE
AUS,2020,inc,num,,f,264.179513883357,132.118770372719,396.240257393994,TRUE
AUS,2020,inc,num,,m,150.079108423928,75.0560366022861,225.10218024557,TRUE
AUS,2020,inc,num,,f,135.639872131994,67.8348326717883,203.444911592199,TRUE
AUS,2020,inc,num,,m,75.8562507140928,37.9364562456409,113.776045182545,TRUE
AUS,2020,inc,num,,f,99.4457617442527,49.7338024712628,149.157721017243,TRUE
AUS,2020,inc,num,,m,102.05480826855,51.0386122711157,153.071004265984,TRUE
AUS,2020,inc,num,,f,86.1226234834314,43.0707701314325,129.17447683543,TRUE
AUS,2020,inc,num,,m,196.378073442583,98.210603880713,294.545543004453,TRUE
AUS,2020,inc,num,,f,105.518476010458,52.7708265382771,158.266125482639,TRUE
AUS,2020,inc,num,15plus,m,977.913817803782,770.898049303038,1184.92958630452,TRUE
AUS,2020,inc,num,15plus,f,874.736182196218,689.562213185903,1059.91015120653,TRUE
AUS,2020,inc,num,15plus,a,1852.65,1574.90024355189,2130.39975644811,TRUE
AUS,2020,inc,num,a,m,977.913817803782,770.898049303038,1184.92958630452,TRUE
AUS,2020,inc,num,a,f,874.736182196218,689.562213185903,1059.91015120653,TRUE
AUS,2020,inc,num,a,a,1852.65,1574.90024355189,2130.39975644811,TRUE
AUT,2020,inc,num,0-4,m,3.45,1.74824192511222,5.15175807488778,TRUE
AUT,2020,inc,num,0-4,f,4.6,2.33098923348296,6.86901076651704,TRUE
