Region,ISO3,Scenario,xx,xx,2019,2020,2021,2022,2023,2024
xx,xx,xx,xx,hi,1.7009,1.9331,2.8081,3.1328,2.3417,2.1247
xx,FIN,Baseline,xx,lo,0.5449,0.53541,0.52559,0.51761,0.50994,0.50269
xx,xx,xx,xx,md,0.55533,0.54729,0.5402,0.53376,0.52779,0.52228
xx,xx,xx,xx,hi,0.56554,0.56213,0.56158,0.56243,0.56327,0.56397
xx,xx,With COVID,xx,lo,0.5449,0.59716,0.78429,0.83228,0.59621,0.5483
xx,xx,xx,xx,md,0.55533,0.62673,0.88936,0.93027,0.66158,0.6033
xx,xx,xx,xx,hi,0.56554,0.64816,0.97795,1.1213,0.85132,0.78435
xx,FRA,Baseline,xx,lo,0.68226,0.67118,0.66074,0.65301,0.64545,0.63824
xx,xx,xx,xx,md,0.79131,0.77934,0.7693,0.76091,0.75295,0.74594
xx,xx,xx,xx,hi,0.90041,0.8856,0.87425,0.86695,0.86561,0.86443
xx,xx,With COVID,xx,lo,0.68226,0.77441,1.0314,1.1057,0.78302,0.71895
xx,xx,xx,xx,md,0.79131,0.89013,1.2545,1.329,0.95563,0.86757
xx,xx,xx,xx,hi,0.90041,1.0209,1.4749,1.6293,1.249,1.1497
xx,GBR,Baseline,xx,lo,0.47263,0.46454,0.45736,0.45187,0.4468,0.44162
xx,xx,xx,xx,md,0.50634,0.49822,0.49189,0.48604,0.48085,0.47574
xx,xx,xx,xx,hi,0.54785,0.54318,0.53971,0.53413,0.53139,0.53143
xx,xx,With COVID,xx,lo,0.47263,0.52416,0.6955,0.73674,0.52555,0.48443
xx,xx,xx,xx,md,0.50634,0.57017,0.80574,0.85405,0.61011,0.55343
xx,xx,xx,xx,hi,0.54785,0.62729,0.93495,1.0312,0.7839,0.71701
xx,GEO,Baseline,xx,lo,3.7919,3.7341,3.6605,3.5989,3.5446,3.4968
xx,xx,xx,xx,md,4.1752,4.1262,4.0726,4.0254,3.9774,3.9385
xx,xx,xx,xx,hi,4.5263,4.4923,4.4474,4.3994,4.3556,4.3354
xx,xx,With COVID,xx,lo,3.7919,4.1652,5.6002,6.0278,4.2137,3.8729
xx,xx,xx,xx,md,4.1752,4.7062,6.6311,6.9566,4.9862,4.5245
xx,xx,xx,xx,hi,4.5263,5.1869,7.549,8.4615,6.4456,5.9575
xx,HUN,Baseline,xx,lo,0.60907,0.59795,0.58732,0.57724,0.56969,0.56294
xx,xx,xx,xx,md,0.64305,0.63356,0.62591,0.61766,0.61098,0.60535
xx,xx,xx,xx,hi,0.67222,0.66441,0.65749,0.65123,0.6499,0.64825
xx,xx,With COVID,xx,lo,0.60907,0.67235,0.88564,0.94744,0.68551,0.62919
xx,xx,xx,xx,md,0.64305,0.72612,1.0269,1.0731,0.76817,0.69923
xx,xx,xx,xx,hi,0.67222,0.76555,1.1351,1.2881,0.97781,0.90438
xx,IRL,Baseline,xx,lo,0.37512,0.36886,0.36355,0.35713,0.35275,0.34866
xx,xx,xx,xx,md,0.40729,0.402,0.39622,0.39125,0.38715,0.38336
xx,xx,xx,xx,hi,0.43666,0.43136,0.4278,0.42315,0.4191,0.41844
xx,xx,With COVID,xx,lo,0.37512,0.41435,0.55158,0.59393,0.42603,0.38524
xx,xx,xx,xx,md,0.40729,0.45875,0.65308,0.68036,0.49089,0.4459
xx,xx,xx,xx,hi,0.43666,0.49646,0.73441,0.83057,0.62805,0.58356
xx,ISR,Baseline,xx,lo,0.23897,0.23489,0.23061,0.22756,0.22456,0.2216
xx,xx,xx,xx,md,0.25782,0.25384,0.25056,0.24798,0.24538,0.24331
xx,xx,xx,xx,hi,0.27782,0.2736,0.27136,0.26944,0.2681,0.26773
xx,xx,With COVID,xx,lo,0.23897,0.26659,0.35793,0.38123,0.26651,0.24391
xx,xx,xx,xx,md,0.25782,0.29059,0.40931,0.43131,0.30857,0.28036
xx,xx,xx,xx,hi,0.27782,0.31383,0.46468,0.53264,0.40164,0.36947
xx,ITA,Baseline,xx,lo,0.5229,0.51436,0.50706,0.49893,0.49335,0.48808
xx,xx,xx,xx,md,0.55338,0.54554,0.53925,0.53362,0.52747,0.52145
xx,xx,xx,xx,hi,0.5871,0.57887,0.5765,0.57505,0.57508,0.57483
xx,xx,With COVID,xx,lo,0.5229,0.58052,0.78078,0.83202,0.57503,0.52793
xx,xx,xx,xx,md,0.55338,0.62437,0.88561,0.92817,0.66698,0.60209
xx,xx,xx,xx,hi,0.5871,0.66716,0.98571,1.1275,0.85743,0.79676
xx,LTU,Baseline,xx,lo,4.3711,4.2912,4.2083,4.1541,4.1063,4.0614
xx,xx,xx,xx,md,4.5609,4.4906,4.4372,4.3857,4.3334,4.2818
xx,xx,xx,xx,hi,4.7747,4.7504,4.7251,4.7288,4.7323,4.7297
xx,xx,With COVID,xx,lo,4.3711,4.8255,6.3016,6.734,4.841,4.4513
xx,xx,xx,xx,md,4.5609,5.1364,7.2777,7.629,5.4418,4.9456
xx,xx,xx,xx,hi,4.7747,5.4659,8.1607,9.4217,7.113,6.5663
xx,LUX,Baseline,xx,lo,0.29342,0.28865,0.28526,0.28194,0.27891,0.27609
xx,xx,xx,xx,md,0.34614,0.34116,0.33788,0.3332,0.32958,0.32628
xx,xx,xx,xx,hi,0.41755,0.41482,0.41411,0.41425,0.4124,0.40879
xx,xx,With COVID,xx,lo,0.29342,0.32183,0.43763,0.47795,0.33235,0.3055
xx,xx,xx,xx,md,0.34614,0.38752,0.54925,0.58376,0.41848,0.37926
xx,xx,xx,xx,hi,0.41755,0.47992,0.71274,0.76731,0.55747,0.50442
xx,MDA,Baseline,xx,lo,6.1457,6.0659,5.9901,5.9198,5.8619,5.8092
xx,xx,xx,xx,md,6.7753,6.6865,6.6017,6.5277,6.4606,6.3895
xx,xx,xx,xx,hi,7.4188,7.3221,7.2268,7.1462,7.124,7.1276
xx,xx,With COVID,xx,lo,6.1457,6.8514,9.1699,9.7549,7.0506,6.4604
xx,xx,xx,xx,md,6.7753,7.6251,10.7824,11.35,8.1506,7.4234
xx,xx,xx,xx,hi,7.4188,8.3954,12.3835,14.1974,10.6032,9.7232
xx,MNE,Baseline,xx,lo,0.17881,0.17601,0.17354,0.17156,0.16891,0.16592
xx,xx,xx,xx,md,0.19899,0.19611,0.1938,0.19157,0.18956,0.18756
xx,xx,xx,xx,hi,0.2229,0.21952,0.21637,0.2138,0.21342,0.21292
xx,xx,With COVID,xx,lo,0.17881,0.19761,0.26993,0.28545,0.19957,0.18264
xx,xx,xx,xx,md,0.19899,0.22409,0.31719,0.33284,0.2378,0.21454
xx,xx,xx,xx,hi,0.2229,0.25115,0.36591,0.40955,0.30827,0.2839
xx,NLD,Baseline,xx,lo,0.17778,0.17474,0.17234,0.17025,0.16838,0.16633
xx,xx,xx,xx,md,0.19829,0.19557,0.19275,0.19146,0.18945,0.1877
