Region,ISO3,Scenario,xx,xx,2019,2020,2021,2022,2023,2024
xx,xx,xx,xx,hi,15.9853,15.7245,17.4196,19.5255,19.26,18.5549
xx,URY,Baseline,xx,lo,30.0131,29.7663,29.463,29.2548,29.0608,28.8456
xx,xx,xx,xx,md,34.4395,34.1752,33.8632,33.6953,33.4767,33.3026
xx,xx,xx,xx,hi,40.1822,40.0794,39.9911,39.9679,39.7968,39.6221
xx,xx,With COVID,xx,lo,30.0131,29.4197,30.6704,32.2851,31.3391,30.2807
xx,xx,xx,xx,md,34.4395,33.9078,36.5065,39.4693,38.3671,36.8391
xx,xx,xx,xx,hi,40.1822,39.7717,43.4235,48.8739,47.5908,45.1264
xx,VEN,Baseline,xx,lo,34.8758,34.368,33.8128,33.3304,33.024,32.7377
xx,xx,xx,xx,md,44.8145,44.5439,44.2134,43.72,43.412,43.1581
xx,xx,xx,xx,hi,58.006,57.5885,57.1689,56.6897,56.2293,55.7777
xx,xx,With COVID,xx,lo,34.8758,34.0119,35.0157,37.3419,36.6041,35.0865
xx,xx,xx,xx,md,44.8145,44.2412,47.0049,50.8135,50.053,48.0158
xx,xx,xx,xx,hi,58.006,57.3497,60.9523,67.996,66.8616,63.423
EUR,ALB,Baseline,xx,lo,14.0753,13.9184,13.7315,13.5669,13.4051,13.2645
xx,xx,xx,xx,md,15.8896,15.6779,15.4668,15.3101,15.1503,15.007
xx,xx,xx,xx,hi,18.3501,18.1597,17.9737,17.8082,17.6594,17.5227
xx,xx,With COVID,xx,lo,14.0753,13.8211,14.8053,15.6325,15.1877,14.487
xx,xx,xx,xx,md,15.8896,15.5581,16.6994,18.6513,17.9896,16.8931
xx,xx,xx,xx,hi,18.3501,17.8968,19.9558,24.9776,24.9762,23.5119
xx,AND,Baseline,xx,lo,6.4419,6.3213,6.2208,6.147,6.0512,5.9583
xx,xx,xx,xx,md,7.4664,7.3629,7.2953,7.2183,7.1476,7.0865
xx,xx,xx,xx,hi,8.7683,8.6351,8.5197,8.4163,8.3211,8.2561
xx,xx,With COVID,xx,lo,6.4419,6.2903,6.6632,7.1865,7.0122,6.6704
xx,xx,xx,xx,md,7.4664,7.2875,7.9773,8.809,8.5542,8.0401
xx,xx,xx,xx,hi,8.7683,8.5587,9.4793,10.9616,10.8191,10.2279
xx,ARM,Baseline,xx,lo,19.5897,19.2733,19.01,18.781,18.5749,18.4248
xx,xx,xx,xx,md,25.779,25.52,25.2726,25.0152,24.7148,24.5218
xx,xx,xx,xx,hi,33.3413,33.1224,32.9273,32.7176,32.6313,32.5954
xx,xx,With COVID,xx,lo,19.5897,19.1251,20.4985,22.9029,22.0804,20.878
xx,xx,xx,xx,md,25.779,25.4085,27.452,30.4493,29.4749,27.7814
xx,xx,xx,xx,hi,33.3413,32.8131,36.1087,40.9573,40.5115,38.6034
xx,BLR,Baseline,xx,lo,22.2059,21.9134,21.6575,21.3732,21.1072,20.8652
xx,xx,xx,xx,md,28.703,28.2178,27.8714,27.5745,27.3103,27.0628
xx,xx,xx,xx,hi,37.326,37.0272,36.5829,36.1392,35.7205,35.4522
xx,xx,With COVID,xx,lo,22.2059,21.7009,23.2607,24.6843,24.053,23.0266
xx,xx,xx,xx,md,28.703,28.0655,30.1797,33.5577,32.6266,30.8814
xx,xx,xx,xx,hi,37.326,36.7617,39.4524,47.1766,46.1084,42.9581
xx,CHE,Baseline,xx,lo,4.5179,4.4701,4.4126,4.3582,4.3076,4.2634
xx,xx,xx,xx,md,5.3119,5.2427,5.174,5.1173,5.0653,5.0198
xx,xx,xx,xx,hi,6.2838,6.1877,6.1497,6.0942,6.0275,5.9648
xx,xx,With COVID,xx,lo,4.5179,4.4299,4.753,5.0136,4.8243,4.585
xx,xx,xx,xx,md,5.3119,5.222,5.6269,6.2504,5.995,5.6355
xx,xx,xx,xx,hi,6.2838,6.1766,6.7569,8.1221,8.0727,7.6229
xx,DEU,Baseline,xx,lo,5.4676,5.403,5.3455,5.2872,5.232,5.1627
xx,xx,xx,xx,md,6.3421,6.2603,6.177,6.1174,6.0611,6.0209
xx,xx,xx,xx,hi,7.2609,7.1207,7.0321,6.9537,6.8797,6.8221
xx,xx,With COVID,xx,lo,5.4676,5.3169,5.7591,6.223,5.9537,5.6593
xx,xx,xx,xx,md,6.3421,6.2183,6.7306,7.3903,7.165,6.7805
xx,xx,xx,xx,hi,7.2609,7.1087,7.768,9.5368,9.3952,8.8949
xx,EST,Baseline,xx,lo,10.9625,10.781,10.6151,10.4824,10.361,10.2209
xx,xx,xx,xx,md,12.8054,12.6242,12.4693,12.335,12.2213,12.1094
xx,xx,xx,xx,hi,15.2708,15.1217,14.9602,14.7859,14.6573,14.5736
xx,xx,With COVID,xx,lo,10.9625,10.6692,11.6458,12.7674,12.4035,11.5892
xx,xx,xx,xx,md,12.8054,12.5237,13.5272,15.0558,14.5546,13.6835
xx,xx,xx,xx,hi,15.2708,15.0515,16.5418,19.9823,19.5664,18.1992
xx,FIN,Baseline,xx,lo,4.0026,3.9513,3.9089,3.8708,3.8351,3.8011
xx,xx,xx,xx,md,4.6885,4.6159,4.5542,4.506,4.4558,4.4068
xx,xx,xx,xx,hi,5.4857,5.3968,5.3339,5.3216,5.26,5.2034
xx,xx,With COVID,xx,lo,4.0026,3.8912,4.1969,4.6207,4.4915,4.2352
xx,xx,xx,xx,md,4.6885,4.5758,4.9427,5.5656,5.3611,5.015
xx,xx,xx,xx,hi,5.4857,5.377,5.8631,7.0006,6.988,6.5842
xx,FRA,Baseline,xx,lo,8.0835,7.9732,7.8323,7.7353,7.6451,7.5626
xx,xx,xx,xx,md,8.9709,8.8514,8.7655,8.6796,8.5983,8.4983
xx,xx,xx,xx,hi,10.0277,9.9406,9.8085,9.7033,9.6215,9.5847
xx,xx,With COVID,xx,lo,8.0835,7.9188,8.295,8.9635,8.6169,8.2283
xx,xx,xx,xx,md,8.9709,8.792,9.5307,10.6108,10.2158,9.5632
xx,xx,xx,xx,hi,10.0277,9.8175,11.0629,13.7755,13.6127,12.7206
xx,GBR,Baseline,xx,lo,7.1597,7.0708,6.963,6.8661,6.7802,6.7016
xx,xx,xx,xx,md,7.8852,7.7907,7.6782,7.608,7.529,7.4405
xx,xx,xx,xx,hi,8.7644,8.6537,8.5838,8.5615,8.4755,8.4147
xx,xx,With COVID,xx,lo,7.1597,7.0179,7.4336,7.9033,7.7054,7.3473
xx,xx,xx,xx,md,7.8852,7.6992,8.3552,9.2702,8.9615,8.4542
xx,xx,xx,xx,hi,8.7644,8.572,9.6026,11.6691,11.5668,10.845
xx,GEO,Baseline,xx,lo,61.3581,60.478,59.6998,58.9884,58.6167,58.3116
xx,xx,xx,xx,md,73.9625,72.8573,71.8449,71.0995,70.3293,69.6938
xx,xx,xx,xx,hi,86.8669,86.1077,85.166,84.277,83.7896,83.4236
xx,xx,With COVID,xx,lo,61.3581,59.8208,64.1502,70.2112,68.0403,64.7143
xx,xx,xx,xx,md,73.9625,72.4517,77.4848,86.9955,84.3138,79.5931
xx,xx,xx,xx,hi,86.8669,85.0535,93.6395,112.9569,112.1856,105.491
xx,HUN,Baseline,xx,lo,5.4176,5.3464,5.2717,5.2126,5.1588,5.1088
xx,xx,xx,xx,md,6.271,6.1937,6.1099,6.0372,5.9788,5.9503
xx,xx,xx,xx,hi,7.1903,7.0708,6.9914,6.9383,6.8947,6.8882
xx,xx,With COVID,xx,lo,5.4176,5.305,5.6682,6.144,5.989,5.6968
xx,xx,xx,xx,md,6.271,6.1638,6.5952,7.2994,7.0773,6.6633
xx,xx,xx,xx,hi,7.1903,7.0277,7.7606,9.3498,9.121,8.5591
xx,IRL,Baseline,xx,lo,4.9463,4.8579,4.7909,4.7238,4.6638,4.6089
xx,xx,xx,xx,md,5.7166,5.6535,5.588,5.521,5.4753,5.425
xx,xx,xx,xx,hi,6.6884,6.5968,6.5169,6.4719,6.4556,6.4193
xx,xx,With COVID,xx,lo,4.9463,4.8359,5.1479,5.5282,5.3551,5.1136
xx,xx,xx,xx,md,5.7166,5.6256,6.0308,6.6953,6.5221,6.1441
xx,xx,xx,xx,hi,6.6884,6.526,7.2127,8.7199,8.5034,7.9676
xx,ISR,Baseline,xx,lo,2.4408,2.4027,2.3703,2.3419,2.3164,2.2929
xx,xx,xx,xx,md,2.8878,2.8452,2.8137,2.7831,2.755,2.7293
xx,xx,xx,xx,hi,3.45,3.3974,3.3485,3.3063,3.279,3.2615
