ISO3,Scenario,xx,xx,2019,2020,2021,2022,2023,2024
xx,xx,HIV +ve,lo,1.9221,1.766,1.6546,1.523,1.419,1.3265
xx,xx,xx,md,2.6887,2.4821,2.3113,2.1479,1.9887,1.8694
xx,xx,xx,hi,3.5596,3.2765,3.0609,2.8761,2.7243,2.5807
xx,COVID,All,lo,12.7959,12.3239,13.0685,15.462,12.7254,12.1961
xx,xx,xx,md,15.7721,15.1872,15.8864,18.6985,16.1282,15.3815
xx,xx,xx,hi,20.419,19.433,19.8677,23.326,20.2787,19.37
xx,xx,HIV +ve,lo,1.9221,1.7328,1.7026,1.9943,1.6128,1.409
xx,xx,xx,md,2.6887,2.424,2.4298,2.7957,2.233,1.9704
xx,xx,xx,hi,3.5596,3.2007,3.2396,3.7955,3.0579,2.741
TLS,Baseline,xx,lo,53.8912,52.734,51.0462,49.5551,48.3797,47.3693
xx,xx,xx,md,88.2811,86.0928,84.5735,83.409,82.0971,80.6829
xx,xx,xx,hi,133.0557,131.4389,129.9487,128.6056,127.4178,126.3171
xx,COVID,xx,lo,53.8912,55.7676,60.1843,57.424,53.2681,51.5241
xx,xx,xx,md,88.2811,89.5571,95.1272,92.7156,88.5869,86.4644
xx,xx,xx,hi,133.0557,135.4113,143.9069,141.8525,137.5849,135.0221
TUR,Baseline,xx,lo,0.50755,0.49795,0.48903,0.48148,0.47434,0.46757
xx,xx,xx,md,0.52582,0.51646,0.50878,0.50152,0.49499,0.48855
xx,xx,xx,hi,0.55038,0.54058,0.53145,0.52431,0.51808,0.51189
xx,COVID,xx,lo,0.50755,0.64994,1.1036,0.98286,0.51475,0.49193
xx,xx,xx,md,0.52582,0.69783,1.2468,1.172,0.63728,0.57344
xx,xx,xx,hi,0.55038,0.73106,1.3864,1.399,0.79922,0.68991
VNM,Baseline,xx,lo,7.9573,7.8079,7.7943,7.8032,7.8153,7.8293
xx,xx,xx,md,11.8733,11.6792,11.5485,11.5101,11.4292,11.2741
xx,xx,xx,hi,15.8487,15.4748,15.1852,14.9646,14.8009,14.7269
xx,COVID,xx,lo,7.9573,8.1533,10.5291,13.2672,9.7075,9.1036
xx,xx,xx,md,11.8733,12.0661,14.6723,18.7607,14.3321,13.4522
xx,xx,xx,hi,15.8487,16.0537,19.5254,24.8248,19.5487,18.423
ZAF,Baseline,All,lo,57.2097,53.8449,51.2386,47.7509,44.9984,44.0692
xx,xx,xx,md,95.8179,87.9637,82.9362,77.2764,72.6954,69.1026
xx,xx,xx,hi,142.6806,130.1597,119.2441,108.9372,102.7903,96.3016
xx,xx,HIV +ve,lo,23.0413,19.6107,17.1545,15.4134,14.1679,13.251
xx,xx,xx,md,60.1788,54.1574,48.2871,42.4447,39.8821,35.908
xx,xx,xx,hi,111.295,101.4087,92.3467,84.1434,76.7724,69.5504
xx,COVID,All,lo,57.2097,56.1489,55.8868,52.0054,48.0661,46.7142
xx,xx,xx,md,95.8179,90.4644,85.4402,80.7224,74.9871,71.0235
xx,xx,xx,hi,142.6806,131.269,120.8496,111.6144,103.7507,96.7563
xx,xx,HIV +ve,lo,23.0413,21.5756,21.1128,18.4686,16.3354,14.8533
xx,xx,xx,md,60.1788,55.1194,49.8007,46.4254,41.5402,36.6712
xx,xx,xx,hi,111.295,101.923,92.7925,86.297,77.7181,70.1188
ZWE,Baseline,All,lo,32.1253,29.9877,28.6849,27.1357,25.6427,24.3283
xx,xx,xx,md,41.1967,39.206,37.5052,36.51,35.849,35.2221
xx,xx,xx,hi,52.6249,49.8737,47.9763,46.8443,45.7636,44.9604
xx,xx,HIV +ve,lo,20.7664,19.0317,18.1181,16.8483,15.9545,15.3065
xx,xx,xx,md,30.068,28.2569,26.8825,26.2927,25.6382,25.358
xx,xx,xx,hi,40.5501,38.1528,36.4091,35.2244,34.6016,34.2683
xx,COVID,All,lo,32.1253,32.2085,34.8081,30.6035,28.2323,26.5737
xx,xx,xx,md,41.1967,41.808,45.952,40.8924,38.3054,37.022
xx,xx,xx,hi,52.6249,53.3155,59.4529,52.9881,49.3264,47.3919
xx,xx,HIV +ve,lo,20.7664,20.2973,21.9851,19.4921,17.5872,16.5303
xx,xx,xx,md,30.068,30.1319,33.3866,29.9226,27.9008,26.6053
xx,xx,xx,hi,40.5501,40.7885,45.8515,40.6764,37.7599,36.3602
