iso3,year,hiv,tb,ill_def,tb_seq,total,tb.imp,garbage,garbage.imp,totaltb,seq.prop,tb.prop,codqual,min.coverage,max.coverage,min.usability,max.usability,use.ghe,keep.vr,ghe.env,env,env.nm,vr.coverage,tb.adj,tb.adj.sd,pop,ihme.env,env.ratio
TKM,2007,0,647,2125,,28531,647,0.0744803897514984,0.0744803897514984,647,,0.024502007119594,medium,100,100,,,no,TRUE,37646.38,37646.38,11,0.757868352813737,922.411870786942,98.1619702355159,5024894,31959.867,1.17792667910664
TKM,2008,0,579,2092,,28837,579,0.0725456878316052,0.0725456878316052,579,,0.0216489063376332,medium,100,100,,,no,TRUE,37198.47,37198.47,11,0.775220056093705,805.306192933259,78.6898871624793,5100083,31212.848,1.19176788994071
TKM,2009,0,587,2432,,27750,587,0.0876396396396396,0.0876396396396396,587,,0.0231850857097717,medium,100,100,,,no,TRUE,34695.4,34695.4,11,0.799817843287583,804.415822734813,74.4858296085141,5180957,29090.615,1.19266643211221
TKM,2010,0,633,2729,,28279,633,0.096502705187595,0.096502705187595,633,,0.0247749510763209,medium,100,100,,,no,TRUE,34355.24,34355.24,11,0.823134986104012,851.149390215264,73.3324330401082,5267970,28601.764,1.20115808241757
TKM,2011,0,530,3254,,28846,530,0.112805934964986,0.112805934964986,530,,0.0207095967489841,medium,100,100,,,no,TRUE,35124.25,35124.25,11,0.82125596987836,727.409053610503,67.7344966325289,5360811,29206.099,1.20263407995707
TKM,2012,0,431,3562,,29208,431,0.121952889619282,0.121952889619282,431,,0.0168057396865008,medium,100,100,,,no,TRUE,35198.05,35198.05,11,0.829818697342608,591.52926577244,55.079906448585,5458682,29645.113,1.1873137403794
TKM,2013,0,392,4077,,30510,392,0.133628318584071,0.133628318584071,392,,0.0148299474142171,medium,100,100,,,no,TRUE,35858.81,35858.81,11,0.850836935191101,531.784266636401,47.4075725258584,5560095,30552.682,1.17367143087471
TKM,2014,0,473,4790,,31751,473,0.150861390192435,0.150861390192435,473,,0.0175438596491228,medium,100,100,,,no,TRUE,36306.25,36306.25,11,0.874532621793768,636.951754385965,55.195220713952,5663152,31319.385,1.15922614700129
TKM,2015,0,428,4913,,32247,428,0.152355257853444,0.152355257853444,428,,0.0156581546791542,medium,100,100,,,no,TRUE,36286.53,36286.53,11,0.888676872657705,568.180099509768,46.5230974817461,5766431,31919.967,1.13679722789187
TTO,2000,535,24,172,3,9473,24,0.0181568668848306,0.0181568668848306,27,0.111111111111111,0.00290291366519729,high,100,100,90,92,no,TRUE,9557.276,9557.276,13,0.991182006253665,27.7439471024621,0.191111380164244,1267159,9603.5646,0.995180060537105
TTO,2001,541,16,204,1,9750,16,0.0209230769230769,0.0209230769230769,17,0.0588235294117647,0.00178085061805992,high,100,100,90,92,no,TRUE,9845.39,9845.39,13,0.990311201486178,17.533168866541,0.137472643697718,1271627,9754.6018,1.0093072174407
TTO,2002,490,23,146,1,9614,23,0.0151861868109008,0.0151861868109008,24,0.0416666666666667,0.00253485424588086,high,100,100,90,92,no,TRUE,9728.929,9728.929,13,0.988186880590865,24.6614169835235,0.169911250319333,1277210,9628.5357,1.01042664254753
TTO,2003,409,20,138,,10199,20,0.0135307383076772,0.0135307383076772,20,,0.00198787396879038,high,100,100,90,92,no,TRUE,10244.223,10244.223,13,0.995585511951468,20.3642242321837,0.092714299187292,1283564,9950.529,1.02951541571307
