country,iso3,g.whoregion,year.new,source.new,all.areas.covered.new,surv.quality.new,dst.rlt.new,mdr.new,mdr.new.pcnt,mdr.new.pcnt.lo,mdr.new.pcnt.hi,dr.r.nh.new,dr.r.nh.new.pcnt,dr.r.nh.new.pcnt.lo,dr.r.nh.new.pcnt.hi,xpert.new,xpert.dr.r.new,xpert.dr.r.new.pcnt,xpert.dr.r.new.pcnt.lo,xpert.dr.r.new.pcnt.hi,r.rlt.new,rr.new,rr.new.pcnt,rr.new.pcnt.lo,rr.new.pcnt.hi,dst.rlt.hr.new,dst.rlt.hr.new.pcnt,dst.rlt.hr.new.pcnt.lo,dst.rlt.hr.new.pcnt.hi,dst.rlt.rr.new,dst.rlt.rr.new.pcnt,dst.rlt.rr.new.pcnt.lo,dst.rlt.rr.new.pcnt.hi,dr.h.nr.new,dr.h.nr.new.pcnt,dr.h.nr.new.pcnt.lo,dr.h.nr.new.pcnt.hi,year.ret,source.ret,all.areas.covered.ret,surv.quality.ret,dst.rlt.ret,mdr.ret,mdr.ret.pcnt,mdr.ret.pcnt.lo,mdr.ret.pcnt.hi,dr.r.nh.ret,dr.r.nh.ret.pcnt,dr.r.nh.ret.pcnt.lo,dr.r.nh.ret.pcnt.hi,xpert.ret,xpert.dr.r.ret,xpert.dr.r.ret.pcnt,xpert.dr.r.ret.pcnt.lo,xpert.dr.r.ret.pcnt.hi,r.rlt.ret,rr.ret,rr.ret.pcnt,rr.ret.pcnt.lo,rr.ret.pcnt.hi,dst.rlt.hr.ret,dst.rlt.hr.ret.pcnt,dst.rlt.hr.ret.pcnt.lo,dst.rlt.hr.ret.pcnt.hi,dst.rlt.rr.ret,dst.rlt.rr.ret.pcnt,dst.rlt.rr.ret.pcnt.lo,dst.rlt.rr.ret.pcnt.hi,dr.h.nr.ret,dr.h.nr.ret.pcnt,dr.h.nr.ret.pcnt.lo,dr.h.nr.ret.pcnt.hi
Sao Tome and Principe,STP,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,Surveillance,1,R,8,7,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Suriname,SUR,AMR,2021,Surveillance,1,A,59,9,,,,,,,,,,,,,67,9,,,,59,,,,9,,,,,,,,2021,Surveillance,1,A,6,1,,,,,,,,,,,,,7,1,,,,6,,,,1,,,,,,,
Slovakia,SVK,EUR,2021,Surveillance,1,A,65,2,,,,,,,,,,,,,65,3,,,,5,,,,3,,,,,,,,2021,Surveillance,1,A,5,2,,,,,,,,,,,,,5,2,,,,2,,,,2,,,,,,,
Slovenia,SVN,EUR,2021,Surveillance,1,A,58,1,,,,,,,,,,,,,58,1,,,,4,,,,1,,,,,,,,2021,Surveillance,1,A,6,0,,,,,,,,,,,,,6,0,,,,0,,,,0,,,,,,,
Sweden,SWE,EUR,2021,Surveillance,1,A,173,3,,,,,,,,,,,,,173,4,,,,15,,,,4,,,,,,,,2021,Surveillance,1,A,8,0,,,,,,,,,,,,,8,0,,,,0,,,,0,,,,,,,
Eswatini,SWZ,AFR,2018,Survey,1,A,635,,6.5,4.7,8.7,,,,,,,,,,1195,,8.6,6.7,10.8,,11.2,8.8,13.9,,7.9,5.9,10.2,,,,,2018,Survey,1,A,99,,9.1,4.2,16.6,,,,,,,,,,223,,17.5,11.2,24.9,,12.1,6.4,20.2,,14.1,8,22.6,,,,
Sint Maarten (Dutch part),SXM,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,AFR,2021,Surveillance,1,N,9,0,,,,,,,,,,,,,9,0,,,,9,,,,0,,,,,,,,2012,Surveillance,1,A,2,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Syrian Arab Republic,SYR,EMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,Surveillance,1,A,38,5,,,,,,,,,,,,,38,13,,,,14,,,,16,,,,,,,
Turks and Caicos Islands,TCA,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,TGO,AFR,2020,Surveillance,1,A,1613,1,,,,,,,,,,,,,1613,13,,,,1,,,,13,,,,,,,,2020,Surveillance,1,A,124,1,,,,,,,,,,,,,124,3,,,,1,,,,3,,,,,,,
Thailand,THA,SEA,2012,Survey,1,A,1622,,2,1.4,2.8,,0.2,0,0.5,,,,,,,,,,,,,,,,,,,,10.2,8.7,11.7,2020,Surveillance,1,R,3667,337,,,,,,,,,,,,,3724,590,,,,740,,,,490,,,,,,,
Tajikistan,TJK,EUR,2021,Surveillance,1,A,1584,267,,,,,,,,,,,,,1862,501,,,,435,,,,280,,,,,,,,2021,Surveillance,1,A,265,68,,,,,,,,,,,,,305,105,,,,98,,,,71,,,,,,,
Tokelau,TKL,WPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,EUR,2018,Survey,1,A,894,,23.4,20.7,26.2,,,,,,,,,,970,,23.2,20.6,25.9,,39.9,36.8,43.2,,24.4,21.7,27.3,,,,,2018,Survey,1,A,273,,54.2,48.3,60.1,,,,,,,,,,278,,54,48.1,59.8,,69.2,63.6,74.5,,55,49,60.8,,,,
Timor-Leste,TLS,SEA,2019,Survey,1,A,59,,1.7,0.1,7.2,,,,,,,,,,844,,0.6,0.2,1.3,,11.9,5.3,21.7,,1.7,0.1,7.2,,10.2,4.2,19.5,2019,Survey,1,A,5,,0,0,100,,,,,,,,,,73,,2.7,0.5,8.2,,0,0,100,,20,1.3,62.8,,0,0,100
Tonga,TON,WPR,2020,Surveillance,1,N,5,0,,,,,,,,,,,,,5,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,EMR,2018,Surveillance,1,A,1051,11,,,,,,,,,,,,,1051,11,,,,11,,,,11,,,,,,,,2021,Surveillance,1,R,30,9,,,,,,,,,,,,,30,11,,,,9,,,,11,,,,,,,
Türkiye,TUR,EUR,2021,Surveillance,1,N,3652,78,,,,,,,,,,,,,3654,95,,,,404,,,,94,,,,,,,,2020,Surveillance,1,A,285,24,,,,,,,,,,,,,297,33,,,,56,,,,30,,,,,,,
Tuvalu,TUV,WPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,Surveillance,1,A,1,0,,,,,,,,,,,,,1,1,,,,0,,,,1,,,,,,,
United Republic of Tanzania,TZA,AFR,2018,Survey,1,A,1060,,1.1,0.4,1.8,,,,,,,,,,1161,,0.97,0.4,1.6,,1.1,0.5,1.7,,0.94,0.4,1.5,,,,,2018,Survey,1,A,108,,5,1,8.9,,,,,,,,,,123,,7.3,2.7,11.9,,4.6,1.1,8.2,,6.5,2.3,10.6,,,,
