iso3,scenario,hiv,measure,year,best,lo,hi
BWA,COVID,a,mort,2021,81.3715,62.6886,100.51
BWA,COVID,pos,mort,2021,49.6497,34.383,65.0159
BWA,Baseline,a,inc,2022,222.9638,173.1422,294.1346
BWA,Baseline,pos,inc,2022,108.1205,76.8406,138.234
BWA,COVID,a,inc,2022,240.5764,184.4373,314.4542
BWA,COVID,pos,inc,2022,114.7765,80.8958,146.0739
BWA,Baseline,a,mort,2022,68.3541,51.1031,85.6312
BWA,Baseline,pos,mort,2022,41.3391,27.1125,55.8271
BWA,COVID,a,mort,2022,79.7159,60.3017,98.434
BWA,COVID,pos,mort,2022,48.0629,31.0292,64.5903
BWA,Baseline,a,inc,2023,218.5999,165.6669,287.9951
BWA,Baseline,pos,inc,2023,104.8203,70.9001,135.6158
BWA,COVID,a,inc,2023,235.8808,178.4168,307.8683
BWA,COVID,pos,inc,2023,110.3027,76.6114,141.8777
BWA,Baseline,a,mort,2023,66.3157,49.2217,83.6848
BWA,Baseline,pos,mort,2023,40.0893,24.0295,54.2738
BWA,COVID,a,mort,2023,72.4145,53.7987,91.3772
BWA,COVID,pos,mort,2023,43.3494,26.0203,59.2929
BWA,Baseline,a,inc,2024,213.4879,157.5529,284.7052
BWA,Baseline,pos,inc,2024,102.8119,66.2483,133.1979
BWA,COVID,a,inc,2024,227.0519,169.0412,300.3726
BWA,COVID,pos,inc,2024,106.4432,70.2072,137.7841
BWA,Baseline,a,mort,2024,64.2876,47.0186,82.6299
BWA,Baseline,pos,mort,2024,39.176,21.6937,52.6744
BWA,COVID,a,mort,2024,68.87,50.3302,87.6743
BWA,COVID,pos,mort,2024,41.0866,23.2006,56.561
CHE,Baseline,a,inc,2019,5.3119,4.5179,6.2838
CHE,COVID,a,inc,2019,5.3119,4.5179,6.2838
CHE,Baseline,a,mort,2019,0.24583,0.22036,0.27538
CHE,COVID,a,mort,2019,0.24583,0.22036,0.27538
CHE,Baseline,a,inc,2020,5.2427,4.4701,6.1877
CHE,COVID,a,inc,2020,5.222,4.4299,6.1766
CHE,Baseline,a,mort,2020,0.24224,0.21687,0.27297
CHE,COVID,a,mort,2020,0.27733,0.24316,0.31293
CHE,Baseline,a,inc,2021,5.174,4.4126,6.1497
CHE,COVID,a,inc,2021,5.6269,4.753,6.7569
CHE,Baseline,a,mort,2021,0.23969,0.21425,0.27129
CHE,COVID,a,mort,2021,0.395,0.33244,0.45622
CHE,Baseline,a,inc,2022,5.1173,4.3582,6.0942
CHE,COVID,a,inc,2022,6.2504,5.0136,8.1221
CHE,Baseline,a,mort,2022,0.2372,0.21164,0.26853
CHE,COVID,a,mort,2022,0.41582,0.3521,0.51499
CHE,Baseline,a,inc,2023,5.0653,4.3076,6.0275
CHE,COVID,a,inc,2023,5.995,4.8243,8.0727
CHE,Baseline,a,mort,2023,0.23491,0.20916,0.26732
CHE,COVID,a,mort,2023,0.29782,0.2544,0.38617
CHE,Baseline,a,inc,2024,5.0198,4.2634,5.9648
CHE,COVID,a,inc,2024,5.6355,4.585,7.6229
CHE,Baseline,a,mort,2024,0.23286,0.20685,0.26664
CHE,COVID,a,mort,2024,0.2707,0.23301,0.35428
CHL,Baseline,a,inc,2019,17.9668,14.9298,20.384
CHL,COVID,a,inc,2019,17.9668,14.9298,20.384
CHL,Baseline,a,mort,2019,2.1923,2.0815,2.3113
CHL,COVID,a,mort,2019,2.1923,2.0815,2.3113
CHL,Baseline,a,inc,2020,17.7722,14.7932,20.3015
CHL,COVID,a,inc,2020,17.6457,14.6433,20.2708
CHL,Baseline,a,mort,2020,2.1697,2.0569,2.2934
CHL,COVID,a,mort,2020,2.4861,2.343,2.6682
CHL,Baseline,a,inc,2021,17.6695,14.652,20.2353
CHL,COVID,a,inc,2021,19.009,15.1743,22.2508
CHL,Baseline,a,mort,2021,2.1551,2.0365,2.2776
CHL,COVID,a,mort,2021,3.0851,2.7728,3.4321
CHL,Baseline,a,inc,2022,17.5354,14.5053,20.1768
CHL,COVID,a,inc,2022,20.4355,15.5644,25.6227
CHL,Baseline,a,mort,2022,2.138,2.0146,2.2666
CHL,COVID,a,mort,2022,3.1056,2.7655,3.6001
CHL,Baseline,a,inc,2023,17.4094,14.3571,20.1242
CHL,COVID,a,inc,2023,19.797,15.2696,24.8081
CHL,Baseline,a,mort,2023,2.1232,1.9892,2.2628
CHL,COVID,a,mort,2023,2.5047,2.1699,2.9719
CHL,Baseline,a,inc,2024,17.3192,14.2148,20.0975
CHL,COVID,a,inc,2024,18.9582,14.8235,23.6798
CHL,Baseline,a,mort,2024,2.1102,1.9706,2.2576
CHL,COVID,a,mort,2024,2.3428,2.0573,2.8089
CRI,Baseline,a,inc,2019,9.8886,7.8489,12.9754
CRI,COVID,a,inc,2019,9.8886,7.8489,12.9754
CRI,Baseline,a,mort,2019,0.96579,0.86161,1.0671
CRI,COVID,a,mort,2019,0.96579,0.86161,1.0671
CRI,Baseline,a,inc,2020,9.7989,7.7702,12.8789
CRI,COVID,a,inc,2020,9.7272,7.6924,12.7781
CRI,Baseline,a,mort,2020,0.95776,0.85205,1.063
CRI,COVID,a,mort,2020,1.0989,0.96576,1.2321
CRI,Baseline,a,inc,2021,9.7611,7.7008,12.7975
CRI,COVID,a,inc,2021,10.5176,8.1198,13.9155
CRI,Baseline,a,mort,2021,0.95082,0.84368,1.0603
CRI,COVID,a,mort,2021,1.3535,1.1726,1.5875
CRI,Baseline,a,inc,2022,9.7213,7.6375,12.7243
