country,measure,sex,age,cause,metric,year,val,upper,lower,iso3
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2014,56059.804,130727.81,12931.243,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2014,462648.98,501632,423943.65,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2015,388303.86,450902.31,300222.03,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2015,2412.5102,6171.7361,499.32562,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2015,55128.421,129547.46,12010.676,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2015,445844.79,487526.4,402679.93,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2016,381971.82,452459.81,292794.88,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2016,2547.5793,6746.1589,504.98099,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2016,55705.625,136834.38,11325.968,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2016,440225.03,487075,393860.8,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2017,381809.41,457965.44,288388.04,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2017,2690.9733,7258.6547,481.61532,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2017,56425.758,141725.49,10103.562,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2017,440926.15,499074.84,384109.77,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2018,375144.67,463643.02,280667.86,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2018,2791.4142,7462.879,482.87342,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2018,56220.98,142611.95,9677.1999,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2018,434157.06,503839.48,370118.22,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2019,364821.83,451198.85,269008.07,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2019,2835.0202,7251.363,471.29692,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2019,54976.907,140160.1,8949.409,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2019,422633.76,498664.98,358351.32,IND
